Date,Symbol,LTP
2026-02-17 19:59,DHEL,720.0
2026-02-17 19:59,BANDIPUR,920.0
2026-02-17 19:59,HBL,188.6
2026-02-17 19:59,SHPC,536.0
2026-02-17 21:02,ULHC,530.1
2026-02-17 21:02,TPC,392.0
2026-02-17 21:09,KKHC,288.6
2026-02-17 21:09,NHPC,218.0
2026-02-17 21:17,SGHC,392.1
2026-02-22 15:24,HBL,0.0
2026-02-22 15:24,SHPC,0.0
2026-02-22 15:24,ULHC,0.0
2026-02-22 15:24,SGHC,0.0
2026-02-22 15:24,NHPC,0.0
2026-02-25 19:45,NHPC,223.3
2026-02-25 19:45,ULHC,554.1
2026-02-25 19:45,SHPC,536.4
2026-02-25 19:45,SGHC,400.0
2026-02-25 19:45,HBL,187.5
2026-02-26 15:54,HBL,188.5
2026-02-26 15:54,NHPC,224.0
2026-02-26 15:54,SGHC,399.7
2026-02-26 15:54,SHPC,535.0
2026-02-26 15:54,ULHC,558.0
2026-03-01 15:05,SHPC,533.1
2026-03-01 15:05,SGHC,396.0
2026-03-01 15:05,HBL,191.4
2026-03-01 15:05,NHPC,222.1
2026-03-01 15:05,ULHC,551.9
2026-03-01 17:09,HBL,0.0
2026-03-01 19:22,HBL,191.4
2026-03-01 19:22,API,316.0
2026-03-03 11:41,NHPC,223.0
2026-03-03 11:41,HBL,191.1
2026-03-03 11:41,API,317.0
2026-03-03 11:41,SHPC,538.7
2026-03-03 11:41,SGHC,398.0
2026-03-03 11:41,ULHC,547.2
2026-03-03 11:42,NHPC,223.5
2026-03-03 11:42,API,317.2
2026-03-03 12:46,NHPC,224.0
2026-03-03 12:46,HBL,192.3
2026-03-03 12:46,API,316.0
2026-03-03 12:46,SHPC,537.0
2026-03-03 12:46,SGHC,396.5
2026-03-03 12:46,ULHC,559.8
2026-03-03 12:52,API,315.1
2026-03-03 12:52,SGHC,397.1
2026-03-03 12:52,ULHC,565.9
2026-03-03 13:04,NHPC,225.0
2026-03-03 13:04,HBL,192.6
2026-03-03 13:04,API,316.0
2026-03-03 13:04,ULHC,565.0
2026-03-03 15:09,NHPC,226.6
2026-03-03 15:09,HBL,196.1
2026-03-03 15:09,API,317.0
2026-03-03 15:09,SHPC,546.0
2026-03-03 15:09,SGHC,400.5
2026-03-03 15:09,ULHC,564.8
