Timestamp,Category,Symbol,Action,Details,Amount
2026-02-17 10:00:00,TRADE,DHEL,SELL,IPO Sell (Profit: 4509.18),5509.18
2026-02-17 10:05:00,TRADE,BANDIPUR,SELL,IPO Sell Maybe Hold Long (Profit: 6343.03),7343.03
2026-02-17 11:30:00,TRADE,TPC,SELL,After Loss i Chased BE (Profit: 60.64),3820.59
2026-02-17 12:15:00,TRADE,KKHC,SELL,Gamble failed - sold immediately (Loss: -83.18),4916.40
2026-02-17 13:45:00,TRADE,NHPC,SELL,Partial sold at Best BE (Loss: -71.19),2177.67
2025-07-18 11:00:00,TRADE,HBL,BUY,My First Share as FPO,-1570.00
2026-01-18 11:15:00,TRADE,ULHC,BUY,Sideways Scalping,-9658.89
2026-01-29 12:30:00,TRADE,NHPC,BUY,Low Cap and Gamble after 5% Circuit,-2248.85
2026-02-10 14:00:00,TRADE,SGHC,BUY,TMS 58 accumulation but Was Trap,-4372.24
